1,3
2,5
2,7
4,11
2,13
4,17
2,19
4,23
6,29
2,31
6,37
4,41
2,43
4,47
6,53
6,59
2,61
6,67
4,71
2,73
6,79
4,83
6,89
8,97
4,101
2,103
4,107
2,109
4,113
14,127
4,131
6,137
2,139
10,149
2,151
6,157
6,163
4,167
6,173
6,179
2,181
10,191
2,193
4,197
2,199
12,211
12,223
4,227
2,229
4,233
6,239
2,241
10,251
6,257
6,263
6,269
2,271
6,277
4,281
2,283
10,293
14,307
4,311
2,313
4,317
14,331
6,337
10,347
2,349
4,353
6,359
8,367
6,373
6,379
4,383
6,389
8,397
4,401
8,409
10,419
2,421
10,431
2,433
6,439
4,443
6,449
8,457
4,461
2,463
4,467
12,479
8,487
4,491
8,499
4,503
6,509
12,521
2,523
18,541
6,547
10,557
6,563
6,569
2,571
6,577
10,587
6,593
6,599
2,601
6,607
6,613
4,617
2,619
12,631
10,641
2,643
4,647
6,653
6,659
2,661
12,673
4,677
6,683
8,691
10,701
8,709
10,719
8,727
6,733
6,739
4,743
8,751
6,757
4,761
8,769
4,773
14,787
10,797
12,809
2,811
10,821
2,823
4,827
2,829
10,839
14,853
4,857
2,859
4,863
14,877
4,881
2,883
4,887
20,907
4,911
8,919
10,929
8,937
4,941
6,947
6,953
14,967
4,971
6,977
6,983
8,991
6,997
12,1009
4,1013
6,1019
2,1021
10,1031
2,1033
6,1039
10,1049
2,1051
10,1061
2,1063
6,1069
18,1087
4,1091
2,1093
4,1097
6,1103
6,1109
8,1117
6,1123
6,1129
22,1151
2,1153
10,1163
8,1171
10,1181
6,1187
6,1193
8,1201
12,1213
4,1217
6,1223
6,1229
2,1231
6,1237
12,1249
10,1259
18,1277
2,1279
4,1283
6,1289
2,1291
6,1297
4,1301
2,1303
4,1307
12,1319
2,1321
6,1327
34,1361
6,1367
6,1373
8,1381
18,1399
10,1409
14,1423
4,1427
2,1429
4,1433
6,1439
8,1447
4,1451
2,1453
6,1459
12,1471
10,1481
2,1483
4,1487
2,1489
4,1493
6,1499
12,1511
12,1523
8,1531
12,1543
6,1549
4,1553
6,1559
8,1567
4,1571
8,1579
4,1583
14,1597
4,1601
6,1607
2,1609
4,1613
6,1619
2,1621
6,1627
10,1637
20,1657
6,1663
4,1667
2,1669
24,1693
4,1697
2,1699
10,1709
12,1721
2,1723
10,1733
8,1741
6,1747
6,1753
6,1759
18,1777
6,1783
4,1787
2,1789
12,1801
10,1811
12,1823
8,1831
16,1847
14,1861
6,1867
4,1871
2,1873
4,1877
2,1879
10,1889
12,1901
6,1907
6,1913
18,1931
2,1933
16,1949
2,1951
22,1973
6,1979
8,1987
6,1993
4,1997
2,1999
4,2003
8,2011
6,2017
10,2027
2,2029
10,2039
14,2053
10,2063
6,2069
12,2081
2,2083
4,2087
2,2089
10,2099
12,2111
2,2113
16,2129
2,2131
6,2137
4,2141
2,2143
10,2153
8,2161
18,2179
24,2203
4,2207
6,2213
8,2221
16,2237
2,2239
4,2243
8,2251
16,2267
2,2269
4,2273
8,2281
6,2287
6,2293
4,2297
12,2309
2,2311
22,2333
6,2339
2,2341
6,2347
4,2351
6,2357
14,2371
6,2377
4,2381
2,2383
6,2389
4,2393
6,2399
12,2411
6,2417
6,2423
14,2437
4,2441
6,2447
12,2459
8,2467
6,2473
4,2477
26,2503
18,2521
10,2531
8,2539
4,2543
6,2549
2,2551
6,2557
22,2579
12,2591
2,2593
16,2609
8,2617
4,2621
12,2633
14,2647
10,2657
2,2659
4,2663
8,2671
6,2677
6,2683
4,2687
2,2689
4,2693
6,2699
8,2707
4,2711
2,2713
6,2719
10,2729
2,2731
10,2741
8,2749
4,2753
14,2767
10,2777
12,2789
2,2791
6,2797
4,2801
2,2803
16,2819
14,2833
4,2837
6,2843
8,2851
6,2857
4,2861
18,2879
8,2887
10,2897
6,2903
6,2909
8,2917
10,2927
12,2939
14,2953
4,2957
6,2963
6,2969
2,2971
28,2999
2,3001
10,3011
8,3019
4,3023
14,3037
4,3041
8,3049
12,3061
6,3067
12,3079
4,3083
6,3089
20,3109
10,3119
2,3121
16,3137
26,3163
4,3167
2,3169
12,3181
6,3187
4,3191
12,3203
6,3209
8,3217
4,3221
8,3229
22,3251
2,3253
4,3257
2,3259
12,3271
28,3299
2,3301
6,3307
6,3313
6,3319
4,3323
6,3329
2,3331
12,3343
4,3347
12,3359
2,3361
10,3371
2,3373
16,3389
2,3391
16,3407
6,3413
20,3433
16,3449
8,3457
4,3461
2,3463
4,3467
2,3469
22,3491
8,3499
12,3511
6,3517
10,3527
2,3529
4,3533
6,3539
2,3541
6,3547
10,3557
2,3559
12,3571
10,3581
2,3583
10,3593
14,3607
6,3613
4,3617
6,3623
8,3631
6,3637
6,3643
16,3659
12,3671
2,3673
4,3677
14,3691
6,3697
4,3701
8,3709
10,3719
8,3727
6,3733
6,3739
22,3761
6,3767
2,3769
10,3779
14,3793
4,3797
6,3803
18,3821
2,3823
10,3833
14,3847
4,3851
2,3853
10,3863
14,3877
4,3881
8,3889
18,3907
4,3911
6,3917
2,3919
4,3923
6,3929
2,3931
